year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2015,Malta,9,0,26,0,2,13882.85,0,0,0,1542.538888888889,0
2015,Netherlands,35,0,89,0,5,529663.25,0,0,0,15133.235714285714,0
2015,Norway,74,0,218,0,0,784042.42,0,0,0,10595.167837837838,0
2015,Poland,16,0,23,0,1,7641.79,0,0,0,477.611875,0
2015,Portugal,1,0,3,0,0,1558.85,0,0,0,1558.85,0
2015,Romania,4,0,9,0,0,3846.76,0,0,0,961.69,0
2015,Serbia,0,0,0,0,1,0,0,0,0,0,0
2015,Slovakia,1,0,2,0,0,196.86,0,0,0,196.86,0
2015,Spain,241,0,505,0,3,1536332.47,0,0,0,6374.823526970954,0
2015,Sweden,271,0,518,0,2,997257.8,0,0,0,3679.918081180812,0
2015,Switzerland,64,0,138,0,6,295588.494,0,0,0,4618.57021875,0
2015,UK,45,0,100,0,1,180030,0,0,0,4000.6666666666665,0
2016,Albania,0,0,64,0,8,0,0,0,0,0,0
2016,Austria,317,2,793,0,31,2747033.84,0,0,0,8665.72189274448,0
2016,Belgium,182,0,274,0,12,356258.1528,0,0,0,1957.4623780219779,0
2016,Bulgaria,8,0,22,0,1,2347.7000000000003,0,0,0,293.46250000000003,0
2016,Denmark,14,0,21,0,2,624368.45,0,0,0,44597.74642857142,0
2016,Finland,67,0,90,0,3,172068.36,0,0,0,2568.18447761194,0
2016,France,283,8,99,0,1,971379.22,0,0,0,3432.4354063604237,0
2016,Frontex,2,46,1,0,2,7349.9,0,0,0,3674.95,0
2016,Georgia,0,0,0,0,6,0,0,0,0,0,0
2016,Germany,7256,8,2197,0,3,9919084.942,0,0,0,1367.018321664829,0
2016,Greece,204,0,456,0,7,1826933.75,0,0,0,8955.557598039215,0
2016,Hungary,140,0,263,0,8,34380.124,0,0,0,245.5723142857143,0
2016,Iceland,189,0,110,0,2,496009.68,0,0,0,2624.3898412698413,0
